iter	Passed	Remaining
644	52005	28623
645	52074	28536
646	52165	28461
647	52238	28376
648	52315	28293
649	52373	28201
650	52474	28131
651	52544	28045
652	52666	27986
653	52762	27914
654	52842	27832
655	52971	27777
656	53061	27701
657	53162	27631
658	53252	27555
659	53352	27484
660	53479	27427
661	53577	27355
662	53647	27268
663	53760	27204
664	53884	27144
665	53972	27067
666	54092	27005
667	54186	26930
668	54276	26854
669	54391	26789
670	54454	26699
671	54570	26635
672	54676	26566
673	54730	26471
674	54790	26380
675	54862	26294
676	54916	26200
677	54988	26115
678	55039	26020
679	55110	25934
680	55206	25860
681	55299	25784
682	55351	25690
683	55449	25616
684	55498	25521
685	55571	25436
686	55645	25352
687	55707	25262
688	55741	25160
689	55815	25076
690	55885	24990
691	55943	24899
692	56005	24810
693	56067	24721
694	56138	24636
695	56200	24547
696	56269	24461
697	56329	24371
698	56390	24282
699	56488	24209
700	56564	24126
701	56624	24037
702	56674	23943
703	56725	23850
704	56799	23767
705	56877	23685
706	56959	23605
707	57036	23523
708	57126	23446
709	57190	23359
710	57260	23274
711	57356	23200
712	57425	23115
713	57484	23026
714	57543	22936
715	57606	22849
716	57658	22757
717	57722	22670
718	57777	22580
719	57830	22489
720	57882	22398
721	57955	22315
722	58049	22240
723	58136	22162
724	58217	22082
725	58309	22006
726	58370	21918
727	58426	21829
728	58550	21765
729	58630	21685
730	58701	21601
731	58797	21526
732	58857	21439
733	58956	21365
734	59143	21323
735	59257	21255
736	59352	21179
737	59451	21105
738	59538	21027
739	59592	20937
740	59640	20845
741	59703	20759
742	59771	20674
743	59846	20592
744	59899	20502
745	59958	20414
746	60004	20322
747	60058	20233
748	60126	20149
749	60166	20055
750	60243	19974
751	60337	19898
752	60403	19813
753	60458	19725
754	60546	19647
755	60620	19565
756	60681	19479
757	60739	19391
758	60793	19303
759	60849	19215
760	60904	19127
761	60956	19039
762	60999	18947
763	61042	18855
764	61094	18767
765	61161	18683
766	61215	18596
767	61272	18509
768	61335	18424
769	61399	18340
770	61463	18255
771	61523	18170
772	61578	18083
773	61623	17993
774	61668	17903
775	61706	17812
776	61742	17720
777	61790	17631
778	61834	17542
779	61882	17453
780	61923	17363
781	61956	17271
782	62014	17186
783	62058	17097
784	62104	17009
785	62159	16923
786	62204	16835
787	62249	16747
788	62283	16656
789	62322	16566
790	62393	16485
791	62433	16396
792	62473	16307
793	62518	16220
794	62565	16133
795	62605	16044
796	62660	15959
797	62711	15874
798	62752	15786
799	62797	15699
800	62856	15616
801	62897	15528
802	62931	15438
803	62979	15353
804	63003	15261
805	63055	15177
806	63102	15091
807	63150	15006
808	63210	14923
809	63263	14839
810	63308	14753
811	63352	14667
812	63399	14582
813	63430	14494
814	63458	14404
815	63489	14316
816	63524	14228
817	63559	14141
818	63581	14051
819	63610	13963
820	63637	13874
821	63665	13786
822	63695	13698
823	63734	13613
824	63772	13527
825	63800	13439
826	63833	13353
827	63855	13264
828	63884	13177
829	63908	13089
830	63938	13003
831	63970	12917
832	64003	12831
833	64034	12745
834	64070	12660
835	64101	12575
836	64131	12489
837	64149	12401
838	64175	12314
839	64196	12227
840	64229	12143
841	64249	12056
842	64273	11970
843	64294	11883
844	64310	11796
845	64331	11710
846	64345	11623
847	64362	11536
848	64378	11450
849	64398	11364
850	64414	11278
851	64428	11191
852	64451	11107
853	64465	11020
854	64482	10935
855	64496	10849
856	64518	10765
857	64531	10679
858	64544	10594
859	64566	10510
860	64582	10426
861	64600	10342
862	64620	10258
863	64644	10175
864	64663	10092
865	64678	10008
866	64696	9924
867	64717	9841
868	64735	9758
869	64756	9676
870	64772	9593
871	64793	9510
872	64817	9429
873	64835	9347
874	64853	9264
875	64875	9183
876	64893	9101
877	64915	9020
878	64935	8938
879	64952	8857
880	64966	8775
881	64986	8694
882	65009	8614
883	65031	8533
884	65048	8452
885	65068	8372
886	65089	8292
887	65110	8212
888	65129	8132
889	65149	8052
890	65168	7972
891	65188	7892
892	65209	7813
893	65232	7734
894	65260	7656
895	65283	7577
896	65302	7498
897	65312	7418
898	65327	7339
899	65338	7259
900	65351	7180
901	65364	7101
902	65379	7023
903	65395	6944
904	65407	6865
905	65419	6787
906	65441	6710
907	65460	6632
908	65477	6554
909	65492	6477
910	65504	6399
911	65516	6321
912	65528	6244
913	65542	6166
914	65555	6089
915	65569	6012
916	65583	5936
917	65598	5859
918	65613	5783
919	65626	5706
920	65640	5630
921	65651	5554
922	65667	5478
923	65678	5402
924	65689	5326
925	65700	5250
926	65713	5174
927	65727	5099
928	65738	5024
929	65750	4948
930	65764	4874
931	65776	4799
932	65789	4724
933	65800	4649
934	65810	4575
935	65819	4500
936	65829	4426
937	65839	4351
938	65848	4277
939	65858	4203
940	65868	4129
941	65878	4056
942	65888	3982
943	65898	3909
944	65909	3836
945	65919	3762
946	65928	3689
947	65939	3616
948	65948	3544
949	65960	3471
950	65971	3399
951	65981	3326
952	65990	3254
953	65998	3182
954	66007	3110
955	66018	3038
956	66028	2966
957	66040	2895
958	66050	2823
959	66059	2752
960	66069	2681
961	66079	2610
962	66088	2539
963	66098	2468
964	66107	2397
965	66117	2327
966	66126	2256
967	66137	2186
968	66147	2116
969	66157	2046
970	66167	1976
971	66176	1906
972	66186	1836
973	66199	1767
974	66208	1697
975	66217	1628
976	66226	1559
977	66234	1489
978	66245	1420
979	66254	1352
980	66264	1283
981	66273	1214
982	66282	1146
983	66291	1077
984	66300	1009
985	66311	941
986	66321	873
987	66333	805
988	66344	737
989	66354	670
990	66366	602
991	66375	535
992	66384	467
993	66395	400
994	66405	333
995	66416	266
996	66431	199
997	66447	133
998	66460	66
999	66473	0
	69753	0
7	0
