iter	Logloss
0	0.6668447899
1	0.6420476474
2	0.6212763222
3	0.6008792608
4	0.5794743462
5	0.5631331291
6	0.5445095613
7	0.5325238716
8	0.5203982694
9	0.5056475466
10	0.4909425822
11	0.4756295411
12	0.4619966355
13	0.4502117425
14	0.4423930014
15	0.4303666116
16	0.41920266
17	0.407545038
18	0.3957795179
19	0.3844738504
20	0.3751170783
21	0.3662684828
22	0.3585210144
23	0.3526201955
24	0.3467265172
25	0.3395733234
26	0.3329902826
27	0.3259669685
28	0.3205352978
29	0.3144450567
30	0.3086886986
31	0.302335771
32	0.2969819149
33	0.2919762112
34	0.2877626722
35	0.2838318405
36	0.279800749
37	0.276057045
38	0.2729805729
39	0.2690094156
40	0.2663953715
41	0.262467014
42	0.2599553901
43	0.257525758
44	0.2549580133
45	0.2512203478
46	0.2485189791
47	0.2463557198
48	0.2440462195
49	0.2411625265
50	0.2388239513
51	0.2367782164
52	0.2344375296
53	0.2324618678
54	0.2303084611
55	0.2285988188
56	0.2265631155
57	0.2250856225
58	0.2232517318
59	0.2213080449
60	0.2200444013
61	0.2181909188
62	0.2165818066
63	0.2150494841
64	0.2137489736
65	0.2124365676
66	0.2115434629
67	0.2105963894
68	0.2094814864
69	0.2083867153
70	0.2073101966
71	0.2059020956
72	0.2045134145
73	0.2038472836
74	0.2024413966
75	0.2013140577
76	0.2005718997
77	0.19979347
78	0.1989590949
79	0.1981212289
80	0.1975558012
81	0.1966388023
82	0.1958116044
83	0.1949335171
84	0.1942090354
85	0.1935551089
86	0.1928587643
87	0.1923486976
88	0.1917954636
89	0.1909760029
90	0.190442696
91	0.1898991606
92	0.1889585214
93	0.1881272717
94	0.1876038116
95	0.1872601251
96	0.1868131198
97	0.186004452
98	0.1856407951
99	0.1851641197
100	0.1848939587
101	0.1845835553
102	0.1840316135
103	0.1834683609
104	0.1829492894
105	0.18239353
106	0.1818578043
107	0.1816195058
108	0.1813274412
109	0.180841039
110	0.1804089081
111	0.1799806697
112	0.1796152669
113	0.179307585
114	0.1789571017
115	0.1785738003
116	0.1783357954
117	0.1779731123
118	0.1777378201
119	0.1775070874
120	0.1772397292
121	0.1768755128
122	0.1765937183
123	0.1764309796
124	0.1762263663
125	0.1757491946
126	0.1755682782
127	0.175333336
128	0.1749194802
129	0.1747170606
130	0.1743614818
131	0.1741704988
132	0.1739372188
133	0.1736499937
134	0.1734123413
135	0.1732454761
136	0.1730699962
137	0.1728764576
138	0.1727080982
139	0.1725618789
140	0.1723651791
141	0.1719256924
142	0.171764298
143	0.1715381994
144	0.1713685734
145	0.1712142945
146	0.1709706336
147	0.170613415
148	0.1704622448
149	0.1702832686
150	0.1700603706
151	0.1699139201
152	0.1697372981
153	0.1695702744
154	0.1694235393
155	0.1692813917
156	0.169113755
157	0.1689669644
158	0.1687976228
159	0.1686068517
160	0.1684647948
161	0.1683220715
162	0.1680885184
163	0.1679247554
164	0.1677767583
165	0.1676093008
